file_id,file_name,absolute_path,relative_path,file_type,parse_status,output_dir,error_message,parsed_at,backend,attempts,duration_ms,file_size_bytes,modified_time,source_hash,command
0e3d9ebe07299b02551ad251f1ab6aecd48e016e,大数据-2025级本科生培养方案-v13-724.pdf,/Users/user/毕设/rag-project/data/system_docs/大数据-2025级本科生培养方案-v13-724.pdf,大数据-2025级本科生培养方案-v13-724.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/大数据-2025级本科生培养方案-v13-724__0e3d9ebe07,dry-run,2026-03-29T07:14:54.029659+00:00,pipeline,0,0,675463,2025-12-29T05:11:12+00:00,6a58a35f29bc237dfcd61d9087f747c6bc007daa,mineru -p /Users/user/毕设/rag-project/data/system_docs/大数据-2025级本科生培养方案-v13-724.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/大数据-2025级本科生培养方案-v13-724__0e3d9ebe07 -b pipeline
bc375c34a61aefba3e8ed3097e5fccc8374ac912,附件1-1  上海海洋大学信息学院本科教学工作委员会工作职责.pdf,/Users/user/毕设/rag-project/data/system_docs/附件1-1  上海海洋大学信息学院本科教学工作委员会工作职责.pdf,附件1-1  上海海洋大学信息学院本科教学工作委员会工作职责.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-1_上海海洋大学信息学院本科教学工作委员会工作职责__bc375c34a6,dry-run,2026-03-29T07:14:54.030252+00:00,pipeline,0,0,1526851,2022-06-10T03:25:54+00:00,3b45e50279a9231c3c7e7eb89d903f2c7e2f40a8,mineru -p /Users/user/毕设/rag-project/data/system_docs/附件1-1  上海海洋大学信息学院本科教学工作委员会工作职责.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-1_上海海洋大学信息学院本科教学工作委员会工作职责__bc375c34a6 -b pipeline
2f8b91b22dec8ba05b3ad7187b788b27b5a01822,附件1-10 上海海洋大学信息学院课程质量评价办法.pdf,/Users/user/毕设/rag-project/data/system_docs/附件1-10 上海海洋大学信息学院课程质量评价办法.pdf,附件1-10 上海海洋大学信息学院课程质量评价办法.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-10_上海海洋大学信息学院课程质量评价办法__2f8b91b22d,dry-run,2026-03-29T07:14:54.030852+00:00,pipeline,0,0,8036676,2022-06-09T08:48:20+00:00,ffdadf92bc120c308d226a9580b178d9cde660dc,mineru -p /Users/user/毕设/rag-project/data/system_docs/附件1-10 上海海洋大学信息学院课程质量评价办法.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-10_上海海洋大学信息学院课程质量评价办法__2f8b91b22d -b pipeline
a75d517857f311200b840f6d4d2c72a95452efcf,附件1-11 上海海洋大学本科生学籍管理条例.pdf,/Users/user/毕设/rag-project/data/system_docs/附件1-11 上海海洋大学本科生学籍管理条例.pdf,附件1-11 上海海洋大学本科生学籍管理条例.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-11_上海海洋大学本科生学籍管理条例__a75d517857,dry-run,2026-03-29T07:14:54.031469+00:00,pipeline,0,0,188552,2022-06-14T04:42:50+00:00,35baea2bc4584c683565a23b318ca968645fd69d,mineru -p /Users/user/毕设/rag-project/data/system_docs/附件1-11 上海海洋大学本科生学籍管理条例.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-11_上海海洋大学本科生学籍管理条例__a75d517857 -b pipeline
f9b6f078ae894781d47b8d6d521e13d8caabfe1f,附件1-12 上海海洋大学学士学位授予工作细则.pdf,/Users/user/毕设/rag-project/data/system_docs/附件1-12 上海海洋大学学士学位授予工作细则.pdf,附件1-12 上海海洋大学学士学位授予工作细则.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-12_上海海洋大学学士学位授予工作细则__f9b6f078ae,dry-run,2026-03-29T07:14:54.032130+00:00,pipeline,0,0,84921,2022-06-14T04:42:52+00:00,a82a6ec1b9aac9509f1de4727c5f62ded2dbd9f8,mineru -p /Users/user/毕设/rag-project/data/system_docs/附件1-12 上海海洋大学学士学位授予工作细则.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-12_上海海洋大学学士学位授予工作细则__f9b6f078ae -b pipeline
354b46dd6f3cc7848377ec6a885d6ddbf4826f06,附件1-13 信息学院关于工程教育认证专业课程目标达成度与毕业要求达成度阈值的通知.pdf,/Users/user/毕设/rag-project/data/system_docs/附件1-13 信息学院关于工程教育认证专业课程目标达成度与毕业要求达成度阈值的通知.pdf,附件1-13 信息学院关于工程教育认证专业课程目标达成度与毕业要求达成度阈值的通知.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-13_信息学院关于工程教育认证专业课程目标达成度与毕业要求达成度阈值的通知__354b46dd6f,dry-run,2026-03-29T07:14:54.032809+00:00,pipeline,0,0,491168,2022-06-13T12:12:16+00:00,8993371e552c36b53ff46e0986bb04b7e412b799,mineru -p /Users/user/毕设/rag-project/data/system_docs/附件1-13 信息学院关于工程教育认证专业课程目标达成度与毕业要求达成度阈值的通知.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-13_信息学院关于工程教育认证专业课程目标达成度与毕业要求达成度阈值的通知__354b46dd6f -b pipeline
ae3f27742090a1c4f7564ed90e9a22e52590c146,附件1-14 上海海洋大学信息学院本科专业毕业要求达成情况评价办法.pdf,/Users/user/毕设/rag-project/data/system_docs/附件1-14 上海海洋大学信息学院本科专业毕业要求达成情况评价办法.pdf,附件1-14 上海海洋大学信息学院本科专业毕业要求达成情况评价办法.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-14_上海海洋大学信息学院本科专业毕业要求达成情况评价办法__ae3f277420,dry-run,2026-03-29T07:14:54.033530+00:00,pipeline,0,0,4975310,2022-06-07T12:58:28+00:00,a6b8a13fdf3ea8aae0e4ba5fef76b0b80dd0ab21,mineru -p /Users/user/毕设/rag-project/data/system_docs/附件1-14 上海海洋大学信息学院本科专业毕业要求达成情况评价办法.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-14_上海海洋大学信息学院本科专业毕业要求达成情况评价办法__ae3f277420 -b pipeline
f689f828236f1f8d77629232669a3323b54dbb15,附件1-15  上海海洋大学信息学院专业教学质量持续改进工作指导意见.pdf,/Users/user/毕设/rag-project/data/system_docs/附件1-15  上海海洋大学信息学院专业教学质量持续改进工作指导意见.pdf,附件1-15  上海海洋大学信息学院专业教学质量持续改进工作指导意见.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-15_上海海洋大学信息学院专业教学质量持续改进工作指导意见__f689f82823,dry-run,2026-03-29T07:14:54.034267+00:00,pipeline,0,0,5437251,2022-06-10T05:09:58+00:00,64356ddc74dbc75b82ea13e36800bf25e2c51879,mineru -p /Users/user/毕设/rag-project/data/system_docs/附件1-15  上海海洋大学信息学院专业教学质量持续改进工作指导意见.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-15_上海海洋大学信息学院专业教学质量持续改进工作指导意见__f689f82823 -b pipeline
8a9f215c66557100ba4bad3f26132d2c605060d5,附件1-2  上海海洋大学信息学院教学咨询委员会章程.pdf,/Users/user/毕设/rag-project/data/system_docs/附件1-2  上海海洋大学信息学院教学咨询委员会章程.pdf,附件1-2  上海海洋大学信息学院教学咨询委员会章程.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-2_上海海洋大学信息学院教学咨询委员会章程__8a9f215c66,dry-run,2026-03-29T07:14:54.035021+00:00,pipeline,0,0,3862771,2022-06-10T03:25:52+00:00,d80af6d46a61b7616638ec1f04ff20f149369126,mineru -p /Users/user/毕设/rag-project/data/system_docs/附件1-2  上海海洋大学信息学院教学咨询委员会章程.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-2_上海海洋大学信息学院教学咨询委员会章程__8a9f215c66 -b pipeline
168f14ecb73e8179d032054d49f83241cad9a7a4,附件1-3  上海海洋大学本科教学督导工作条例.pdf,/Users/user/毕设/rag-project/data/system_docs/附件1-3  上海海洋大学本科教学督导工作条例.pdf,附件1-3  上海海洋大学本科教学督导工作条例.pdf,pdf,skipped,/Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-3_上海海洋大学本科教学督导工作条例__168f14ecb7,dry-run,2026-03-29T07:14:54.035858+00:00,pipeline,0,0,92733,2022-06-14T04:42:56+00:00,3167303d2264b013a9d5084b333e989f728bcc61,mineru -p /Users/user/毕设/rag-project/data/system_docs/附件1-3  上海海洋大学本科教学督导工作条例.pdf -o /Users/user/毕设/rag-project/experiments/embedding_experiment/parsing/outputs/附件1-3_上海海洋大学本科教学督导工作条例__168f14ecb7 -b pipeline
